unique_id,Chow..1,Chow..2,Chow..3,Chow..4,Chow..5,Chow..6,Chow..7,Chow..8,Chow..9,Chow..10,Chow..11,Chow..12,Chow..13,Chow..14,Chow..15,Chow..16,Chow..17,Chow..18,Chow..19,Chow..20,Chow..21,Blank.1,Blank.2,Blank.3,High.Fat..1,High.Fat..2,High.Fat..3,High.Fat..4,High.Fat..5,High.Fat..6,High.Fat..7,High.Fat..8,High.Fat..9,High.Fat..10,High.Fat..11,High.Fat..12,High.Fat..13,High.Fat..14,High.Fat..15,High.Fat..16,High.Fat..17,High.Fat..18,QC.1,QC.2,QC.3,QC.4,QC.5,QC.6,QC.7
label,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Chow,Blank,Blank,Blank,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,QC,QC,QC,QC,QC,QC,QC
"neg_4370-5,7',9',13'-tetramethyl-5'-oxaspiro[oxane-2,6'-pentacyclo[10.8.0.0?,?.0?,?.0??,??]icosan]-16'-yl decanoate",0.7033,0.6549,0.6678000000000001,0.4056,0.3929,0.3845,0.6727000000000001,0.6637000000000001,0.7108,0.5787,0.6255000000000001,0.6059,0.7598,0.7535000000000001,0.7763,0.252,0.2421,0.2692,0.1714,0.1706,0.17220000000000002,0.1812,0.1569,0.1039,0.8220000000000001,0.8328,0.8524,4.4583,4.3206,4.241,3.9124,3.9359,4.0253,1.4785,1.4733,1.4591,3.0244,2.9741,2.9914,3.4383,3.7352,3.5882,1.1543,1.124,1.1482,1.1519,1.1589,1.1509,1.1683
neg_2730-Homodolichosterone,0.0383,0.0426,0.0364,0.0324,0.032,0.033100000000000004,0.0432,0.0388,0.043300000000000005,0.027200000000000002,0.031900000000000005,0.0316,0.0364,0.0454,0.0441,0.0463,0.053,0.0441,0.06,0.0529,0.056600000000000004,0.0609,0.076,0.0716,0.0456,0.0403,0.047,0.0488,0.044700000000000004,0.0471,0.0487,0.0492,0.051000000000000004,0.0636,0.058300000000000005,0.069,0.028800000000000003,0.025500000000000002,0.027100000000000003,0.0318,0.027200000000000002,0.0328,0.0429,0.043500000000000004,0.0412,0.039,0.042,0.0415,0.037700000000000004
neg_2837-4-{2-[5-(7-aminoheptyl)-4-(hydroxymethyl)furan-2-yl]ethyl}-2-{2-[4-(propan-2-yl)-1H-pyrrol-2-yl]ethoxy}phenol,0.061,0.0506,0.0656,0.0506,0.0504,0.054700000000000006,0.0526,0.054400000000000004,0.0477,0.022,0.0291,0.024200000000000003,0.049,0.045,0.0485,0.0342,0.0349,0.0405,0.050100000000000006,0.042800000000000005,0.0463,0.0048000000000000004,0.0175,0.0027,0.024800000000000003,0.0245,0.0256,0.036000000000000004,0.0442,0.0417,0.054900000000000004,0.0591,0.0646,0.0815,0.0857,0.08710000000000001,0.058,0.042800000000000005,0.0555,0.055600000000000004,0.06670000000000001,0.0543,0.0451,0.0476,0.0475,0.0516,0.048100000000000004,0.052700000000000004,0.052000000000000005
neg_3160-Cabraleadiol 3-acetate,0.0302,0.0313,0.0302,0.0182,0.0189,0.019700000000000002,0.0632,0.0629,0.0601,0.1005,0.1096,0.1048,0.0629,0.059300000000000005,0.0634,0.026600000000000002,0.026500000000000003,0.0269,0.032600000000000004,0.038,0.0361,0.001,0.0073,0.006200000000000001,0.0036000000000000003,0.0054,0.0034000000000000002,0.0126,0.0165,0.0181,0.023100000000000002,0.025500000000000002,0.024,0.0149,0.0194,0.0123,0.0135,0.0111,0.0145,0.013300000000000001,0.017400000000000002,0.015300000000000001,0.0235,0.0218,0.024900000000000002,0.024,0.022500000000000003,0.0223,0.0234
"neg_3353-2-{1-[13-(1-{6,6-dimethyl-3-oxobicyclo[3.1.0]hexan-2-ylidene}ethyl)-1,4,10-trioxa-7,13-diazacyclopentadecan-7-yl]ethylidene}-6,6-dimethylbicyclo[3.1.0]hexan-3-one",0.0659,0.0623,0.0641,0.0949,0.09620000000000001,0.09820000000000001,0.0436,0.0444,0.0461,0.0562,0.050100000000000006,0.0539,0.0296,0.0316,0.0408,0.046200000000000005,0.050100000000000006,0.06620000000000001,0.085,0.07930000000000001,0.0821,0.0038,0.039900000000000005,0.0151,0.0884,0.0863,0.0811,0.11130000000000001,0.10010000000000001,0.0915,0.12860000000000002,0.1193,0.1506,0.0684,0.06570000000000001,0.0641,0.059500000000000004,0.0417,0.0539,0.0585,0.0713,0.06720000000000001,0.0891,0.08710000000000001,0.0916,0.09390000000000001,0.0874,0.0867,0.0833
neg_3399-5-nonacosylresorcinol,0.11510000000000001,0.11560000000000001,0.0935,0.08510000000000001,0.08270000000000001,0.0857,0.1231,0.1232,0.126,0.14300000000000002,0.1437,0.1535,0.1355,0.1385,0.14880000000000002,0.075,0.0859,0.0849,0.0679,0.0852,0.081,0.0094,0.005,0.0359,0.12890000000000001,0.1149,0.1237,0.15990000000000001,0.17950000000000002,0.1658,0.1935,0.2263,0.1952,0.19140000000000001,0.1942,0.1854,0.184,0.1859,0.1898,0.28800000000000003,0.2625,0.30660000000000004,0.0742,0.10740000000000001,0.1019,0.0801,0.1019,0.0859,0.10260000000000001
neg_3401-5-nonacosylresorcinol,0.1736,0.1709,0.1726,0.1391,0.10840000000000001,0.1383,0.1898,0.1637,0.1889,0.2914,0.2822,0.28190000000000004,0.1988,0.20320000000000002,0.2031,0.0882,0.0859,0.0849,0.09050000000000001,0.0952,0.1013,0.0031000000000000003,0.008700000000000001,0.0359,0.20400000000000001,0.22130000000000002,0.192,0.32220000000000004,0.15660000000000002,0.3136,0.40840000000000004,0.3925,0.5707,0.319,0.321,0.2586,0.39690000000000003,0.359,0.3658,0.4179,0.4873,0.4937,0.1363,0.1135,0.1082,0.1273,0.1129,0.12660000000000002,0.10350000000000001
neg_3402-5-nonacosylresorcinol,0.1587,0.15030000000000002,0.1726,0.1391,0.14450000000000002,0.1383,0.1898,0.1887,0.1889,0.2914,0.2822,0.28190000000000004,0.1988,0.20320000000000002,0.2031,0.07980000000000001,0.08310000000000001,0.08270000000000001,0.09050000000000001,0.0867,0.0881,0.008700000000000001,0.0613,0.0545,0.3279,0.319,0.30770000000000003,0.438,0.4394,0.4358,0.5569000000000001,0.5467000000000001,0.5707,0.4373,0.4554,0.4314,0.5898,0.5945,0.5906,0.7501,0.7861,0.8024,0.2041,0.1998,0.19690000000000002,0.1966,0.1943,0.19340000000000002,0.19940000000000002
neg_3908-UNPD142991,0.3916,0.42650000000000005,0.3648,0.321,0.3186,0.32830000000000004,0.6396000000000001,0.6332,0.6692,0.6417,0.6037,0.6258,0.5932000000000001,0.5986,0.6066,0.2826,0.3099,0.2957,0.3065,0.2755,0.2746,0.0898,0.217,0.1221,1.244,1.2007,1.3563,1.1857,1.1699,1.1265,1.609,1.5417,1.5979999999999999,1.4904,1.4813,1.5684,2.3288,2.3882,2.2619,3.314,3.3343,3.2618,0.849,0.8379000000000001,0.8003,0.7979,0.7699,0.7723,0.7652
neg_3692,0.11,0.11,0.1071,0.1078,0.1052,0.1061,0.1647,0.16290000000000002,0.1663,0.2038,0.2069,0.2031,0.1636,0.1706,0.1728,0.127,0.1305,0.1306,0.1446,0.1448,0.13140000000000002,0.0112,0.0183,0.026500000000000003,0.079,0.0816,0.07390000000000001,0.14450000000000002,0.14850000000000002,0.1443,0.1605,0.1554,0.17070000000000002,0.1583,0.1573,0.1462,0.1278,0.12140000000000001,0.12430000000000001,0.1572,0.17830000000000001,0.1668,0.1189,0.1129,0.1164,0.1187,0.1134,0.11750000000000001,0.109
